room_type_id,accommodation_id,name,capacity,quantity,price,discount_price,amenities,description
1,1,Deluxe Double City View,2,45,4800000,4320000,"Wifi miễn phí, TV màn hình phẳng, minibar, bồn tắm cao cấp, trà/cà phê.",Phòng nghỉ sang trọng, ấm cúng với tầm nhìn ra thành phố Sài Gòn sôi động.
2,1,Park Room with Balcony,2,30,6500000,5850000,"Ban công riêng, Wifi tốc độ cao, máy pha cà phê Nespresso, đồ vệ sinh cá nhân cao cấp.",Phòng có ban công riêng nhìn ra công viên hoặc hồ bơi. Thiết kế cổ điển tinh tế.
3,1,Executive Suite,3,18,10500000,9450000,"Phòng khách riêng biệt, quyền lợi Club Lounge, quản gia riêng, tiện nghi cao cấp.",Căn hộ suite rộng rãi, lý tưởng cho gia đình hoặc khách doanh nhân, bao gồm truy cập sảnh Executive.
4,1,Presidential Suite,4,2,35000000,31500000,"2 phòng ngủ, phòng ăn riêng, bếp nhỏ, quản gia 24/7, xe đưa đón riêng.",Trải nghiệm nghỉ dưỡng đỉnh cao với không gian cực kỳ sang trọng và dịch vụ độc quyền.
5,2,Standard King Room,2,50,3500000,3150000,"Wifi miễn phí, giường cỡ King, TV, tiện nghi cơ bản, vòi sen.",Phòng tiêu chuẩn sạch sẽ và thoải mái, phù hợp cho cặp đôi hoặc khách du lịch đơn.
6,2,Deluxe Twin River View,2,40,5200000,4680000,"Wifi tốc độ cao, 2 giường đơn, view sông Sài Gòn tuyệt đẹp, bồn tắm.",Tận hưởng cảnh quan dòng sông lãng mạn. Lựa chọn hoàn hảo cho bạn bè hoặc đồng nghiệp.
7,2,Sheraton Club Room,2,25,7000000,6300000,"Quyền lợi Club Lounge (ăn sáng, cocktail tối), view cao, máy pha cà phê.",Phòng dành cho khách ưu tiên với dịch vụ Club Lounge đẳng cấp, mang lại trải nghiệm độc quyền.
8,2,Executive Apartment,4,10,11500000,10350000,"Phòng khách riêng, bếp nhỏ, dịch vụ dọn phòng hàng ngày, phòng tập gym miễn phí.",Căn hộ dịch vụ tiện nghi, thích hợp cho lưu trú dài ngày hoặc gia đình.
9,3,Superior Room,2,60,2500000,2250000,"Wifi, TV màn hình phẳng, phòng tắm đứng, máy sấy tóc.",Phòng cơ bản, hiện đại, tối giản và tiện dụng, phù hợp cho các chuyến công tác ngắn.
10,3,Deluxe Room High Floor,2,40,3800000,3420000,"View toàn cảnh thành phố, bồn tắm, tiện nghi cao cấp hơn, trà/cà phê.",Phòng nằm ở tầng cao, cung cấp tầm nhìn rộng lớn ra trung tâm thành phố.
11,3,Family Connecting Room,4,15,6000000,5400000,"2 phòng thông nhau, 2 phòng tắm, giường King và Twin.",Lý tưởng cho gia đình có trẻ em hoặc nhóm bạn, đảm bảo sự riêng tư và tiện lợi.
12,3,Pullman Suite,2,12,8500000,7650000,"Phòng khách riêng, máy pha cà phê Nespresso, tiện nghi cao cấp, ưu tiên check-in.",Căn suite với không gian sống rộng rãi, thiết kế hiện đại và thanh lịch.
13,4,Premium Deluxe Room,2,70,2000000,1800000,"Wifi, TV, phòng tắm đứng, minibar, bộ dụng cụ vệ sinh cơ bản.",Phòng nghỉ chất lượng 4 sao, sạch sẽ, thoải mái, nằm gần khu vực trung tâm Quận 1.
14,4,Executive Room Pool View,2,30,3000000,2700000,"View hồ bơi vô cực, tiện nghi nâng cấp, bàn làm việc lớn.",Phòng có tầm nhìn trực tiếp ra hồ bơi vô cực, giúp bạn thư giãn tối đa.
15,4,Liberty Central Suite,3,10,4500000,4050000,"Phòng khách riêng, bồn tắm, áo choàng tắm, ưu đãi ẩm thực.",Phòng suite với không gian riêng tư, thích hợp cho khách tìm kiếm sự thoải mái và rộng rãi hơn.
16,4,Family Studio,4,8,5800000,5220000,"Phòng ngủ lớn, giường phụ, khu vực tiếp khách nhỏ, tiện nghi gia đình.",Phòng studio rộng rãi, được bố trí phù hợp cho gia đình có 2 người lớn và 2 trẻ em.
17,5,Standard Double/Twin,2,25,750000,675000,"Wifi, điều hòa, TV, phòng tắm riêng, nước uống miễn phí.",Phòng cơ bản, sạch sẽ, phù hợp với du khách ba lô hoặc ngân sách tiết kiệm, nằm ngay phố Bùi Viện.
